Date,Ticker,High,Low,Volatilidade
2025-07-14,AAPL,153.0,147.75,5.25
2025-07-15,AAPL,154.6,146.65,7.95
2025-07-16,AAPL,156.21,145.54,10.67
2025-07-17,AAPL,157.82,144.44,13.38
2025-07-18,AAPL,159.42,143.33,16.09
2025-07-19,AAPL,161.03,142.22,18.81
2025-07-20,AAPL,162.65,141.11,21.54
2025-07-21,AAPL,164.26,140.0,24.26
2025-07-22,AAPL,165.88,148.54,17.34
2025-07-23,AAPL,167.5,147.43,20.07
2025-07-24,AAPL,154.02,146.32,7.7
2025-07-25,AAPL,155.63,145.21,10.42
2025-07-26,AAPL,157.25,144.09,13.16
2025-07-27,AAPL,158.87,142.98,15.89
2025-07-28,AAPL,160.48,141.86,18.62
2025-07-29,AAPL,162.11,140.74,21.37
2025-07-30,AAPL,163.73,149.33,14.4
2025-07-31,AAPL,165.35,148.21,17.14
2025-08-01,AAPL,166.98,147.09,19.89
2025-08-02,AAPL,168.61,145.98,22.63
2025-08-03,AAPL,155.04,144.86,10.18
2025-08-04,AAPL,156.66,143.73,12.93
2025-08-05,AAPL,158.29,142.61,15.68
2025-08-06,AAPL,159.92,141.49,18.43
2025-08-07,AAPL,161.54,150.11,11.43
2025-08-08,AAPL,163.18,148.99,14.19
2025-08-09,AAPL,164.81,147.87,16.94
2025-08-10,AAPL,166.44,146.74,19.7
2025-08-11,AAPL,168.08,145.62,22.46
2025-08-12,AAPL,169.72,144.49,25.23
2025-08-13,AAPL,156.06,143.36,12.7
2025-08-14,AAPL,157.69,142.23,15.46
2025-08-15,AAPL,159.33,150.9,8.43
2025-08-16,AAPL,160.97,149.77,11.2
2025-08-17,AAPL,162.6,148.64,13.96
2025-08-18,AAPL,164.25,147.51,16.74
2025-08-19,AAPL,165.89,146.38,19.51
2025-08-20,AAPL,167.53,145.25,22.28
2025-08-21,AAPL,169.18,144.11,25.07
2025-08-22,AAPL,170.83,142.97,27.86
2025-08-23,AAPL,157.08,151.69,5.39
2025-08-24,AAPL,158.72,150.56,8.16
2025-08-25,AAPL,160.37,149.42,10.95
2025-08-26,AAPL,162.02,148.28,13.74
2025-08-27,AAPL,163.66,147.14,16.52
2025-08-28,AAPL,165.31,146.0,19.31
2025-08-29,AAPL,166.97,144.86,22.11
2025-08-30,AAPL,168.62,143.72,24.9
2025-08-31,AAPL,170.28,152.48,17.8
2025-09-01,AAPL,171.94,151.34,20.6
2025-09-02,AAPL,158.1,150.19,7.91
2025-09-03,AAPL,159.75,149.05,10.7
2025-09-04,AAPL,161.41,147.91,13.5
2025-09-05,AAPL,163.07,146.76,16.31
2025-09-06,AAPL,164.72,145.61,19.11
2025-09-07,AAPL,166.39,144.46,21.93
2025-09-08,AAPL,168.05,153.27,14.78
2025-09-09,AAPL,169.71,152.12,17.59
2025-09-10,AAPL,171.38,150.97,20.41
2025-09-11,AAPL,173.05,149.82,23.23
2025-09-12,AAPL,159.12,148.67,10.45
2025-09-13,AAPL,160.78,147.51,13.27
2025-09-14,AAPL,162.45,146.36,16.09
2025-09-15,AAPL,164.12,145.2,18.92
2025-09-16,AAPL,165.78,154.05,11.73
2025-09-17,AAPL,167.46,152.9,14.56
2025-09-18,AAPL,169.13,151.75,17.38
2025-09-19,AAPL,170.8,150.59,20.21
2025-09-20,AAPL,172.48,149.43,23.05
2025-09-21,AAPL,174.16,148.27,25.89
2025-09-22,AAPL,160.14,147.11,13.03
2025-09-23,AAPL,161.81,145.95,15.86
2025-09-24,AAPL,163.49,154.84,8.65
2025-09-25,AAPL,165.17,153.68,11.49
2025-09-26,AAPL,166.84,152.52,14.32
2025-09-27,AAPL,168.53,151.36,17.17
2025-09-28,AAPL,170.21,150.19,20.02
2025-09-29,AAPL,171.89,149.03,22.86
2025-09-30,AAPL,173.58,147.86,25.72
2025-10-01,AAPL,175.27,146.69,28.58
2025-10-02,AAPL,161.16,155.63,5.53
2025-10-03,AAPL,162.84,154.46,8.38
2025-10-04,AAPL,164.53,153.3,11.23
2025-10-05,AAPL,166.22,152.13,14.09
2025-10-06,AAPL,167.9,150.96,16.94
2025-10-07,AAPL,169.59,149.78,19.81
2025-10-08,AAPL,171.29,148.61,22.68
2025-10-09,AAPL,172.98,147.43,25.55
2025-10-10,AAPL,174.68,156.42,18.26
2025-10-11,AAPL,176.38,155.25,21.13
2025-10-12,AAPL,162.18,154.07,8.11
