data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,mau
2015-01-01,1,F,True,True,0,Assalariado,Secundário,Casado,Casa,49,8.605479452054794,2.0,1916.54,0
2015-01-01,2,M,True,False,0,Empresário,Secundário,União,Casa,60,6.9534246575342475,2.0,2967.25,0
2015-01-01,3,F,True,False,0,Empresário,Secundário,Casado,Casa,28,0.6821917808219178,2.0,340.96,0
2015-01-01,4,F,False,True,0,Assalariado,Superior completo,Casado,Casa,60,1.8794520547945208,2.0,4903.16,0
2015-01-01,5,F,False,False,0,Empresário,Secundário,Casado,Casa,47,8.438356164383563,2.0,3012.6,0
2015-01-01,6,F,False,True,0,Assalariado,Secundário,União,Casa,53,6.6438356164383565,2.0,1879.36,0
2015-01-01,7,F,True,True,0,Assalariado,Secundário,Casado,Casa,41,15.276712328767125,2.0,10634.46,0
2015-01-01,8,M,True,True,2,Empresário,Superior completo,Casado,Casa,50,5.8191780821917805,4.0,9562.14,0
2015-01-01,9,F,False,False,0,Pensionista,Secundário,Solteiro,Casa,64,,1.0,555.79,0
2015-01-01,10,M,False,False,0,Assalariado,Secundário,Casado,Casa,37,7.934246575342466,2.0,838.7,0
2015-01-01,11,F,False,False,0,Empresário,Secundário,União,Casa,53,8.545205479452052,2.0,2732.36,0
2015-01-01,12,F,False,True,0,Empresário,Secundário,Casado,Casa,48,8.967123287671232,2.0,1848.75,0
2015-01-01,13,F,False,False,0,Assalariado,Superior completo,Separado,Casa,51,9.517808219178082,1.0,2026.72,0
2015-01-01,14,M,True,True,0,Assalariado,Secundário,Casado,Casa,31,1.5972602739726027,2.0,819.2,0
2015-01-01,15,F,False,True,2,Servidor público,Secundário,União,Casa,34,7.219178082191781,4.0,1262.17,0
2015-01-01,16,F,False,False,0,Empresário,Secundário,União,Casa,39,0.6849315068493149,2.0,324.87,0
2015-01-01,17,F,False,False,0,Empresário,Secundário,Casado,Governamental,37,17.487671232876714,2.0,7290.0,1
2015-01-01,18,F,True,True,0,Assalariado,Secundário,Solteiro,Casa,40,5.6356164383561635,1.0,2117.15,0
2015-01-01,19,M,True,True,1,Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,11143.65,0
