,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1736,0,0.0,0,0.0,37,1118.647186,0.0,0.008148148,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,True,False
4359,7,157.5,1,23.0,42,3503.025,0.005142857,0.018193939,21.76475048,0.0,May,2,2,1,2,Returning_Visitor,False,False
4437,3,80.0,1,21.0,41,1193.333333,0.00097561,0.01804878,6.53004878,0.0,May,2,2,1,4,Returning_Visitor,False,False
2328,3,231.0,0,0.0,16,386.4444444,0.0,0.02745098,0.0,0.2,May,1,1,1,3,Returning_Visitor,False,False
3807,5,73.5,1,0.0,79,5664.146032,0.045356473,0.05909564,2.39491796,0.0,May,2,2,6,1,Returning_Visitor,False,False
3234,2,93.0,3,808.5,33,1310.472222,0.018518519,0.044312169,0.0,0.4,May,2,2,6,4,Returning_Visitor,False,False
61,0,0.0,0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
8806,0,0.0,0,0.0,31,1625.583333,0.0,0.009677419,0.0,0.0,Dec,4,2,1,8,New_Visitor,False,False
10686,3,37.25,0,0.0,19,656.25,0.0,0.023529412,0.0,0.0,Dec,2,5,3,6,Returning_Visitor,False,False
5248,2,44.0,0,0.0,44,724.3166667,0.0,0.011363636,19.21218939,0.0,May,2,2,3,2,Returning_Visitor,False,True
6142,0,0.0,0,0.0,4,39.95,0.0,0.05,0.0,0.0,Jul,3,2,1,4,Returning_Visitor,True,False
12250,1,41.125,0,0.0,126,4310.004668,0.000687831,0.012822843,3.451072113,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
9600,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,1,2,3,1,Returning_Visitor,False,False
11080,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,1,5,3,Returning_Visitor,False,False
6370,1,249.8,2,722.9,8,2219.583333,0.0,0.0,0.0,0.0,Nov,2,4,4,2,New_Visitor,False,False
2596,0,0.0,0,0.0,3,65.0,0.1,0.111111111,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
9789,1,7.5,0,0.0,63,3060.055556,0.024623656,0.03604734,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
7016,0,0.0,0,0.0,1,19.2,0.0,0.1,0.0,0.0,Aug,1,1,1,1,Returning_Visitor,True,False
9731,10,1455.35,0,0.0,66,1646.612195,0.007142857,0.029065112,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
6386,3,32.0,0,0.0,15,276.3666667,0.0,0.0,55.82099528,0.0,Sep,2,4,1,2,New_Visitor,False,False
1269,0,0.0,0,0.0,5,136.6666667,0.02,0.12,0.0,0.0,Mar,3,2,1,10,Returning_Visitor,True,False
8803,8,487.0,0,0.0,28,839.5178571,0.0,0.003125,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,True,False
6326,6,71.5,0,0.0,79,1854.26,0.039,0.06880303,2.852036737,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
2925,3,55.0,0,0.0,19,436.0,0.0,0.013636364,49.54827273,0.0,May,2,2,4,2,Returning_Visitor,True,True
8114,0,0.0,0,0.0,23,1375.916667,0.039130435,0.093478261,0.0,0.0,Nov,3,2,8,13,Returning_Visitor,False,False
6697,0,0.0,1,13.1,62,1918.966667,0.01031746,0.022246642,0.0,0.0,Aug,2,4,1,4,Returning_Visitor,False,False
10592,3,65.5,3,60.0,30,1383.375,0.014141414,0.039393939,43.20756866,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
3540,2,18.0,0,0.0,32,871.8333333,0.009375,0.020833333,31.903875,0.6,May,4,1,1,3,Returning_Visitor,False,False
10249,0,0.0,0,0.0,3,34.0,0.0,0.066666667,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,True,False
